regime,output_gap,price_disp_1,price_disp_2,price_disp_3,price_disp_total,total
float,0.0001413552526,4.434631704e-06,0.0003359598018,0.002127554116,0.002467948549,0.002609303802
peg,0.008027943689,3.734517023e-05,0.0005428613665,0.001704837202,0.002285043738,0.01031298743
managed,0.000163322022,3.954015502e-06,0.0001831068341,0.0006754556635,0.000862516513,0.001025838535
