regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
float,1.469858384e-05,2.479861854e-05,6.536123787e-05,1.301156693e-05,5.805410399e-05,3.761953167e-05,0.0001409223418,3.603064868e-05,1.465377197e-05,5.081131802e-05,0.01495881876
peg,1.200657775e-05,1.629902798e-05,0.004667459396,2.027267644e-05,0.0001982219875,0.003515643949,0.0007571044523,3.992181011e-05,1.148961871e-05,0.0002365943879,0.02099272492
managed,4.54411593e-06,8.240695998e-06,0.0001529229724,1.442730208e-05,3.762332113e-05,0.0002312225656,0.0001002422252,1.78555675e-05,4.856536329e-06,4.953224544e-05,0.01628133498
