piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0001218,-0.00052996,-0.0019209,-4.9964e-05,-0.002646,0.00077508,-0.00046384,-0.0027241,8.0332e-05,0,-1.4065e-05,0.0006962,0.0014399,9.2492e-05,0.00037427,-5.1695e-06,-0.0002458,0.0018649,-0.00030552,-0.0019951,5.0294e-05,0,0,0,0.01,0,0,0
-3.0373e-05,-0.00027247,-5.2599e-05,-2.6034e-05,-0.0011327,0.0011061,0.00014745,-0.0016104,9.2258e-05,0,-2.4982e-05,0.0012366,0.0013222,6.3091e-05,0.00059552,-1.1106e-05,-5.3639e-05,0.0020749,-0.0002084,-0.0031746,0.00010806,0,0,0,0.009,0,0,0
2.3656e-05,-0.00011469,0.0010877,-1.7693e-05,-0.00014995,0.0012553,0.00015934,-0.00086311,9.2471e-05,0,-3.3382e-05,0.0016524,0.0012207,3.1317e-05,0.00071411,-1.7057e-05,7.0541e-05,0.002148,-0.00010345,-0.0038067,0.00016595,0,0,0,0.0081,0,0,0
5.3412e-05,-1.5591e-05,0.0017553,-1.3735e-05,0.00047273,0.0012963,0.00012838,-0.00036827,8.6133e-05,0,-3.9813e-05,0.0019707,0.0011339,5.718e-06,0.0007647,-2.26e-05,0.00014967,0.0021338,-1.8888e-05,-0.0040764,0.00021988,0,0,0,0.00729,0,0,0
6.7446e-05,4.4685e-05,0.0021095,-1.2135e-05,0.00085047,0.0012712,0.00010109,-4.7013e-05,7.6325e-05,0,-4.469e-05,0.0022121,0.0010581,-1.4441e-05,0.00077116,-2.7511e-05,0.00019807,0.0020655,4.7701e-05,-0.0041109,0.00026766,0,0,0,0.006561,0,0,0
7.152e-05,7.9059e-05,0.0022581,-1.1995e-05,0.0010627,0.0012073,7.9597e-05,0.00015547,6.5e-05,0,-4.8326e-05,0.0023922,0.00099065,-3.0313e-05,0.0007498,-3.1694e-05,0.00022554,0.0019654,0.00010013,-0.003997,0.00030836,0,0,0,0.0059049,0,0,0
6.9505e-05,9.6343e-05,0.0022745,-1.2739e-05,0.0011645,0.0011227,6.2652e-05,0.00027721,5.338e-05,0,-5.0962e-05,0.0025226,0.00092966,-4.2806e-05,0.00071172,-3.5129e-05,0.00023884,0.0018482,0.0001414,-0.003794,0.00034178,0,0,0,0.0053144,0,0,0
6.3976e-05,0.00010255,0.0022086,-1.3977e-05,0.0011937,0.0010289,4.9136e-05,0.00034456,4.2195e-05,0,-5.2782e-05,0.0026127,0.00087378,-5.2604e-05,0.00066438,-3.7844e-05,0.00024269,0.0017239,0.00017376,-0.0035416,0.00036819,0,0,0,0.004783,0,0,0
5.6626e-05,0.00010179,0.0020942,-1.5443e-05,0.0011763,0.00093333,3.8223e-05,0.00037571,3.1857e-05,0,-5.3932e-05,0.0026696,0.00082209,-6.0226e-05,0.00061276,-3.9894e-05,0.00024032,0.0015988,0.00019894,-0.0032665,0.00038814,0,0,0,0.0043047,0,0,0
4.8544e-05,9.6803e-05,0.0019535,-1.6963e-05,0.00113,0.00084046,2.9315e-05,0.0003832,2.2566e-05,0,-5.453e-05,0.0026993,0.00077392,-6.6072e-05,0.00056011,-4.1346e-05,0.00023396,0.0014768,0.00021825,-0.0029858,0.00040227,0,0,0,0.0038742,0,0,0
4.0415e-05,8.9449e-05,0.0018015,-1.8422e-05,0.001067,0.00075284,2.1978e-05,0.00037563,1.4393e-05,0,-5.4672e-05,0.0027063,0.0007288,-7.0454e-05,0.0005085,-4.2273e-05,0.00022515,0.0013602,0.00023273,-0.0027107,0.00041128,0,0,0,0.0034868,0,0,0
3.2647e-05,8.094e-05,0.0016474,-1.9752e-05,0.00099538,0.00067182,1.5891e-05,0.00035884,7.3252e-06,0,-5.4437e-05,0.0026946,0.0006864,-7.3623e-05,0.0004592,-4.2744e-05,0.00021493,0.0012505,0.0002432,-0.0024479,0.00041586,0,0,0,0.0031381,0,0,0
2.5471e-05,7.2065e-05,0.0014974,-2.0911e-05,0.00092038,0.00059791,1.0815e-05,0.00033681,1.3021e-06,0,-5.3889e-05,0.0026675,0.00064644,-7.578e-05,0.00041293,-4.2828e-05,0.000204,0.0011482,0.00025032,-0.0022012,0.00041668,0,0,0,0.0028243,0,0,0
1.8998e-05,6.3317e-05,0.0013548,-2.188e-05,0.00084554,0.00053113,6.567e-06,0.00031218,-3.7611e-06,0,-5.3084e-05,0.0026276,0.00060874,-7.7089e-05,0.00037004,-4.2586e-05,0.00019283,0.0010534,0.00025464,-0.0019726,0.00041432,0,0,0,0.0025419,0,0,0
