regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
float,6.414181364e-06,2.420784301e-05,3.899540466e-05,2.207175915e-08,8.68379985e-06,3.950938782e-05,0.0001510652696,2.403532999e-05,6.444007873e-06,4.166446901e-05,0.02159338474
peg,2.370094031e-05,4.192173365e-05,0.0007018832974,8.968198095e-07,2.730519462e-05,0.0005542878099,0.003355662335,0.0001246067308,2.0416311e-05,0.0002366115542,0.02179333489
managed,3.968250372e-06,7.610735483e-06,2.731948293e-05,8.725903507e-08,7.696600431e-06,3.672359336e-05,0.0002033277183,1.626524083e-05,4.116418238e-06,5.36908442e-05,0.0216386729
