regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
float,7.009826449e-06,2.62801976e-05,1.33981031e-05,1.708510058e-06,1.564725397e-05,1.488282799e-05,0.0002108882124,3.459308596e-05,6.697808143e-06,2.545116243e-05,0.01288539736
peg,1.762767338e-05,2.924482837e-05,0.0008992506552,1.167643872e-05,2.335008108e-05,0.0008967173864,0.002027014261,8.249314461e-05,1.572374478e-05,0.0002344897299,0.02150237353
managed,3.773565598e-06,6.7162951e-06,7.571800908e-05,3.770657412e-06,8.101732732e-06,0.0001325253594,0.0001169853983,1.452384976e-05,4.025904879e-06,4.223780011e-05,0.01589632724
