piDC,PIC,y_gap,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.00199,-0.0016645,-0.0055193,-0.0018825,-0.00096308,-0.002067,0,-1.8509e-05,0.00091622,0.0047599,0.00082397,-0.00070212,0.0040879,-0.0026115,-0.0014264,-0.0031633
-0.0010042,-0.00070565,-0.0027529,0.00084017,0.00030158,-0.0011118,0,-3.3277e-05,0.0016472,0.004451,0.0011733,-0.00015593,0.0047966,-0.001446,-0.00097974,-0.0048647
-0.00042224,-0.00023145,-0.0012604,0.00097629,0.00063379,-0.00050874,0,-4.5203e-05,0.0022376,0.0041875,0.0012879,0.00014527,0.0050013,-9.1655e-05,-4.105e-05,-0.0056432
-8.1296e-05,1.3455e-05,-0.00043702,0.00068784,0.00059976,-0.00013633,0,-5.4776e-05,0.0027114,0.0039435,0.0012812,0.00031744,0.0049413,0.00086254,0.00084725,-0.0058519
0.00011325,0.00013913,1.7339e-05,0.00041981,0.00045551,8.605e-05,0,-6.2339e-05,0.0030858,0.0037115,0.0012123,0.00041624,0.0047419,0.0014449,0.0015219,-0.0057202
0.00021826,0.00019937,0.00026181,0.00023225,0.00030379,0.00021182,0,-6.8169e-05,0.0033744,0.0034897,0.0011136,0.00047115,0.0044727,0.0017671,0.0019718,-0.005396
0.00026862,0.00022282,0.00038481,0.0001109,0.00017858,0.00027621,0,-7.2504e-05,0.0035889,0.0032776,0.0010033,0.00049892,0.0041734,0.0019209,0.0022363,-0.0049733
0.00028596,0.00022557,0.00043706,3.4765e-05,8.5701e-05,0.00030229,0,-7.5555e-05,0.00374,0.0030753,0.00089167,0.00050947,0.0038668,0.0019692,0.0023633,-0.0045107
0.0002838,0.00021691,0.00044831,-1.2051e-05,2.105e-05,0.00030503,0,-7.7508e-05,0.0038367,0.0028828,0.00078429,0.00050894,0.003566,0.0019524,0.0023944,-0.0040439
0.00027057,0.00020232,0.00043631,-4.0144e-05,-2.1847e-05,0.00029409,0,-7.8531e-05,0.0038873,0.0027001,0.00068414,0.00050119,0.0032783,0.0018968,0.0023621,-0.0035938
0.00025153,0.00018503,0.00041173,-5.6327e-05,-4.9019e-05,0.00027564,0,-7.877e-05,0.0038991,0.0025271,0.00059255,0.00048873,0.0030073,0.0018186,0.0022895,-0.003172
0.00022992,0.00016696,0.00038099,-6.4951e-05,-6.5265e-05,0.00025355,0,-7.8353e-05,0.0038785,0.0023636,0.0005099,0.00047322,0.0027547,0.0017285,0.0021928,-0.002784
0.00020769,0.00014921,0.00034797,-6.8793e-05,-7.4119e-05,0.00023022,0,-7.7395e-05,0.003831,0.0022093,0.00043604,0.00045578,0.0025209,0.0016331,0.002083,-0.0024317
0.000186,0.00013237,0.00031492,-6.9633e-05,-7.8081e-05,0.00020709,0,-7.5994e-05,0.0037617,0.0020639,0.00037051,0.00043718,0.0023054,0.0015365,0.0019674,-0.0021148
0.00016549,0.00011677,0.00028317,-6.8615e-05,-7.8871e-05,0.000185,0,-7.4235e-05,0.0036746,0.001927,0.00031271,0.00041796,0.0021074,0.0014413,0.0018506,-0.0018316
0.00014651,0.00010252,0.00025339,-6.6475e-05,-7.7651e-05,0.00016439,0,-7.2194e-05,0.0035736,0.0017983,0.00026196,0.0003985,0.001926,0.0013491,0.0017356,-0.0015801
0.00012916,8.964e-05,0.00022591,-6.3686e-05,-7.5198e-05,0.00014546,0,-6.9934e-05,0.0034617,0.0016774,0.00021759,0.00037909,0.0017598,0.0012607,0.0016242,-0.0013575
0.00011347,7.8093e-05,0.00020084,-6.0554e-05,-7.2025e-05,0.00012826,0,-6.751e-05,0.0033417,0.0015639,0.00017893,0.00035991,0.0016079,0.0011767,0.0015175,-0.0011612
9.938e-05,6.7796e-05,0.00017814,-5.7273e-05,-6.8467e-05,0.00011275,0,-6.4969e-05,0.003216,0.0014575,0.00014537,0.0003411,0.0014691,0.0010973,0.0014161,-0.00098863
8.679e-05,5.8656e-05,0.0001577,-5.3966e-05,-6.4742e-05,9.886e-05,0,-6.2351e-05,0.0030864,0.0013578,0.00011634,0.00032279,0.0013423,0.0010224,0.0013202,-0.00083733
7.5587e-05,5.057e-05,0.00013937,-5.0712e-05,-6.0989e-05,8.6463e-05,0,-5.969e-05,0.0029546,0.0012645,9.1302e-05,0.00030504,0.0012265,0.00095207,0.0012299,-0.00070502
