psi_scale,rp_scale,total
0.5,0.5,48.28598905482542
0.5,1.0,120.74314753183373
0.5,2.0,410.57178143510083
1.0,0.5,44.42261601038202
1.0,1.0,102.04576797614415
1.0,2.0,332.5383759307456
2.0,0.5,40.971237974058546
2.0,1.0,83.68766802363318
2.0,2.0,254.55338828211916
