regime,with_network,no_network,network_premium,network_premium_pct
float,25.151862391972106,8.673100472591758,16.478761919380347,189.99851289000514
peg,90.44535179185505,33.66080672635749,56.784545065497554,168.6963284246941
managed,10.958365728008463,5.8228506348178435,5.1355150931906195,88.19589261800246
