rho,regime,output_gap,price_disp_sector1,price_disp_sector2,price_disp_sector3,price_disp_total,total
0.0,float,4.809372528e-05,2.8501108439630143e-06,0.0003097011616398754,0.0015474899645236925,0.0018600412370075308,0.0019081349622875308
0.5,float,6.866666122499999e-05,3.7808490972175295e-06,0.00033229105895970704,0.0016788963989194756,0.0020149683069764003,0.0020836349682014
1.0,float,9.8041182645e-05,5.021510515442741e-06,0.00038659326646707667,0.0020303651008141944,0.0024219798777967137,0.0025200210604417136
1.5,float,0.00013738824042,7.053473650805442e-06,0.0004991134876192337,0.002718004620494146,0.003224171581764185,0.003361559822184185
2.0,float,0.00018794997570000001,1.0441938299417922e-05,0.0007050840614064415,0.0038955023078380965,0.004611028307543956,0.004798978283243956
2.2,float,0.00021176358075,1.236119608271816e-05,0.000824334579890291,0.004551440275144911,0.00538813605111792,0.00559989963186792
0.0,managed,0.00024133538654999998,1.3587121910199888e-06,0.0001449059538646902,0.0005911656951477547,0.0007374303612034649,0.000978765747753465
0.5,managed,0.0002217521949,2.285878126100082e-06,0.0001614150657137968,0.0006142979650179822,0.000777998908857879,0.0009997511037578791
1.0,managed,0.00022936906320000002,3.571507606370654e-06,0.00019141174999645798,0.0006713409992939872,0.0008663242568968158,0.0010956933200968158
1.5,managed,0.0002849272077,5.4142854785058794e-06,0.00024757873232171475,0.0007924119681343243,0.001045404985934545,0.001330332193634545
2.0,managed,0.00043510123124999996,8.25001929751928e-06,0.0003549536526109369,0.001048175963806843,0.0014113796357152993,0.0018464808669652992
2.2,managed,0.0005437465308,9.869655055022908e-06,0.0004224475789260901,0.0012215494855481058,0.0016538667195292187,0.0021976132503292185
0.0,peg,0.005101860465,2.289457655429541e-05,0.0004439600143945275,0.001419156136910732,0.001886010727859555,0.006987871192859555
0.5,peg,0.0056738792325,2.7228377292556437e-05,0.00044621587479056244,0.0014878344616826547,0.0019612787137657734,0.007635157946265773
1.0,peg,0.0070018446255,2.697394800368808e-05,0.00042804330492980013,0.0015886114464934698,0.0020436286994269578,0.009045473324926959
1.5,peg,0.0097402499355,2.1977108846200485e-05,0.00039020555351533835,0.0017381451787653384,0.0021503278411268774,0.011890577776626877
2.0,peg,0.015500193225,1.412646789295688e-05,0.0003464173408899874,0.0019681353638462606,0.002328679172629205,0.017828872397629206
2.2,peg,0.019463765235,1.1533130895678592e-05,0.0003379109535986835,0.002094702316095453,0.002444146400589815,0.021907911635589816
