piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
0.00010184,8.6935e-05,0.00010733,1.7987e-05,2.6598e-05,6.275e-05,2.3546e-05,1.5847e-05,0.00010868,-0.00065926,8.7406e-06,0.0024232,-3.8133e-05,2.8685e-05,0.00024413,0.00086679,-0.00018009,-3.8396e-05,-0.0013673
9.2709e-05,7.9365e-05,9.7878e-05,1.6562e-05,2.4224e-05,5.7093e-05,2.173e-05,1.4533e-05,9.8928e-05,-0.00060214,7.4351e-06,0.0022981,-1.9322e-05,1.7671e-05,0.00022989,0.00079388,-0.00014995,-1.6871e-05,-0.0012159
8.4127e-05,7.2199e-05,8.8978e-05,1.5249e-05,2.2022e-05,5.1707e-05,1.9862e-05,1.3137e-05,8.9772e-05,-0.00054882,6.094e-06,0.0021763,-1.7463e-06,8.3271e-06,0.00021622,0.00072702,-0.0001224,2.5852e-06,-0.0010785
7.6113e-05,6.5467e-05,8.0655e-05,1.4039e-05,1.9988e-05,4.6627e-05,1.7995e-05,1.1715e-05,8.1233e-05,-0.00049926,4.7662e-06,0.0020582,1.4372e-05,4.5253e-07,0.00020314,0.00066574,-9.7432e-05,1.9935e-05,-0.00095419
6.8672e-05,5.9184e-05,7.2915e-05,1.2925e-05,1.8115e-05,4.1875e-05,1.6172e-05,1.0308e-05,7.3311e-05,-0.00045338,3.4872e-06,0.0019441,2.8907e-05,-6.1317e-06,0.00019066,0.00060958,-7.4998e-05,3.5202e-05,-0.000842
6.1796e-05,5.3353e-05,6.5754e-05,1.1899e-05,1.6394e-05,3.7461e-05,1.442e-05,8.9474e-06,6.5996e-05,-0.00041104,2.2813e-06,0.0018342,4.1808e-05,-1.1586e-05,0.00017878,0.00055813,-5.4994e-05,4.8454e-05,-0.000741
5.547e-05,4.7967e-05,5.9155e-05,1.0955e-05,1.4817e-05,3.3383e-05,1.2759e-05,7.6538e-06,5.9269e-05,-0.0003721,1.1645e-06,0.0017286,5.3078e-05,-1.6053e-05,0.0001675,0.000511,-3.7295e-05,5.979e-05,-0.0006503
4.9672e-05,4.3014e-05,5.3099e-05,1.0085e-05,1.3376e-05,2.9638e-05,1.1202e-05,6.4414e-06,5.3106e-05,-0.00033637,1.4658e-07,0.0016275,6.2762e-05,-1.9661e-05,0.0001568,0.00046783,-2.1755e-05,6.933e-05,-0.00056903
4.4376e-05,3.8477e-05,4.7558e-05,9.2836e-06,1.2061e-05,2.6214e-05,9.7564e-06,5.3187e-06,4.7478e-05,-0.00030368,-7.6811e-07,0.0015308,7.0931e-05,-2.2524e-05,0.00014668,0.00042831,-8.2208e-06,7.7208e-05,-0.00049637
3.9554e-05,3.4335e-05,4.2506e-05,8.5462e-06,1.0864e-05,2.3096e-05,8.4253e-06,4.2899e-06,4.2354e-05,-0.00027382,-1.5787e-06,0.0014386,7.7678e-05,-2.4741e-05,0.00013712,0.00039212,3.467e-06,8.3561e-05,-0.00043155
3.5176e-05,3.0566e-05,3.7912e-05,7.8672e-06,9.7749e-06,2.0269e-05,7.2086e-06,3.3562e-06,3.7702e-05,-0.00024661,-2.2873e-06,0.0013508,8.3106e-05,-2.6402e-05,0.0001281,0.00035899,1.3467e-05,8.8532e-05,-0.00037385
3.1212e-05,2.7146e-05,3.3744e-05,7.2421e-06,8.7866e-06,1.7716e-05,6.1038e-06,2.5163e-06,3.3489e-05,-0.00022186,-2.8977e-06,0.0012674,8.7327e-05,-2.7587e-05,0.0001196,0.00032867,2.1934e-05,9.2259e-05,-0.0003226
2.7631e-05,2.4051e-05,2.9974e-05,6.6667e-06,7.8907e-06,1.5417e-05,5.1068e-06,1.7671e-06,2.9682e-05,-0.00019938,-3.4153e-06,0.0011883,9.0452e-05,-2.8365e-05,0.0001116,0.00030091,2.9019e-05,9.4876e-05,-0.00027718
2.4404e-05,2.1258e-05,2.657e-05,6.1369e-06,7.0798e-06,1.3353e-05,4.2125e-06,1.1043e-06,2.6252e-05,-0.000179,-3.8464e-06,0.0011133,9.2595e-05,-2.8797e-05,0.00010409,0.00027551,3.4862e-05,9.6512e-05,-0.00023701
2.1502e-05,1.8743e-05,2.3504e-05,5.6493e-06,6.3466e-06,1.1508e-05,3.4147e-06,5.2289e-07,2.3165e-05,-0.00016054,-4.1977e-06,0.0010424,9.3862e-05,-2.8938e-05,9.7029e-05,0.00025225,3.9599e-05,9.7286e-05,-0.00020155
1.8899e-05,1.6483e-05,2.0747e-05,5.2004e-06,5.6844e-06,9.8623e-06,2.707e-06,1.7275e-08,2.0395e-05,-0.00014384,-4.4762e-06,0.00097542,9.4359e-05,-2.8834e-05,9.0408e-05,0.00023097,4.3355e-05,9.7312e-05,-0.00017034
