phi_pi,phi_y,total
1.5,0.0,65.54001231226933
1.5,0.5,25.525629754508333
1.5,1.0,24.327748058725547
3.0,0.0,21.453330037583303
3.0,0.5,14.044908419575714
3.0,1.0,16.264193502855647
5.0,0.0,12.569890785996432
5.0,0.5,9.54864891148491
5.0,1.0,11.46726696036813
