psi,regime,total_welfare_x1e4,risk_premium_welfare_x1e4,risk_premium_pct_of_total
0.005,float,25.59405223114774,2.7709207771206286,10.826424639973354
0.005,peg,138.1716672439799,114.70037169150744,83.01294612662706
0.005,managed,10.798152819519885,1.260726910043019,11.675394218944517
0.01,float,25.547788333596866,2.4667915594926635,9.655597295867233
0.01,peg,120.74314753183373,96.60954463687868,80.01244510493461
0.01,managed,10.46641136856633,1.0270857171404224,9.813160222471847
0.02,float,25.47350595574341,2.1090821624105343,8.279512706553877
0.02,peg,102.04576797614415,76.83086929253838,75.29059834259819
0.02,managed,10.170713410167846,0.7878942174982837,7.746695691087034
0.04,float,25.3521672633442,1.7159111822195547,6.768301756593922
0.04,peg,83.68766802363318,56.955240066043245,68.05690899399805
0.04,managed,9.933104371597182,0.560669286795331,5.6444517828536505
0.08,float,25.181130289143052,1.3151747353743355,5.222858228652979
0.08,peg,67.46387830563017,38.88105696948026,57.63240706876981
0.08,managed,9.76374802141777,0.3683812482966595,3.7729491532204427
