target,rho,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
cpi_it,0.0000,3.889126955e-06,5.906860823e-06,0.0003206129526,1.140194546e-07,2.306850417e-05,0.0002830636612,0.0004317813154,1.717369208e-05, 4.16788029e-06,0.0001506698506,  0.02266743373
cpi_it,1.0000,4.149516974e-06,6.816667892e-06,0.0007032665776,1.137285224e-06,6.071347992e-05,0.0004356928818,0.0002167046851,1.613487099e-05,4.433732522e-06,0.0001738768466,  0.02334787046
cpi_it,2.0000,4.688555969e-06,8.227089326e-06, 0.002347216027,1.948178199e-05,0.0002650116783,0.0009400324491,0.0001060902006,1.679312609e-05,5.038139306e-06,0.0002098533141,  0.02407262457
float,0.0000,1.479177507e-06, 1.89439948e-05,0.0002215015575,1.770123066e-08,3.051881936e-05,0.0001410151578,0.0002258576507,2.777825234e-05,1.461706152e-06,3.773027005e-05,  0.02248203198
float,1.0000,1.671288592e-06,1.730214928e-05,0.0005202184223,1.545418442e-06,7.348613307e-05,0.0002361237262,0.0001596476162,2.256267849e-05,1.657599631e-06,4.263056301e-05,  0.02309196432
float,2.0000,1.992100144e-06, 1.57779243e-05, 0.001886784036,2.205060533e-05,0.0002778024631,0.0005885358408,0.0001169874781,1.945733213e-05,1.984631059e-06,5.081369615e-05,  0.02387872066
ppi_it,0.0000,1.889572005e-06,1.353656663e-05, 0.000142157388,4.319430788e-08,1.953417837e-05,0.0001411481505,0.0001174989387,1.447115788e-05,2.236656858e-06,4.359474716e-05,  0.02252671411
ppi_it,1.0000,2.002317039e-06,1.328558101e-05,0.0003868844171,1.190588772e-06,4.633407761e-05,0.0002415870735,0.0001033420498,1.389079072e-05,2.333300113e-06,5.071078311e-05,  0.02315826987
ppi_it,2.0000,2.340966553e-06,1.342490786e-05, 0.001787605267,1.892097893e-05,0.0002267758487,0.0006708109092,9.681970317e-05,1.487576307e-05,2.670924616e-06,6.314316753e-05,  0.02392079889
