psi_scale,rp_scale,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.5000,0.5000,peg,8.225779166e-06,1.251148742e-05, 0.002256245942,1.418466902e-06, 0.000128468495, 0.001385972845, 0.000445902488, 3.05691273e-05,7.961010117e-06,6.353393367e-05,  0.01499208353
0.5000,1.0000,peg,1.573199879e-05,2.294837787e-05, 0.006272506664,2.910899426e-06,0.0003478186313, 0.003637578611, 0.001216249122,5.805119234e-05,1.446600005e-05,0.0002527054621,  0.04595023226
0.5000,2.0000,peg, 4.57568773e-05,6.469593963e-05,  0.02233754955,8.880629526e-06, 0.001225219176,  0.01264400168, 0.004297635659,0.0001679794525, 4.04859598e-05, 0.001009391576,   0.1697828272
1.0000,0.5000,peg,7.611232878e-06,1.198535182e-05, 0.002062908636,1.378585989e-06,0.0001194362891,  0.00127022364,0.0004102790063,2.893741179e-05,7.399889078e-06,5.918619909e-05, 0.007736056682
1.0000,1.0000,peg,1.312339747e-05,1.990887265e-05, 0.005302066238,2.617197921e-06, 0.000298059543,  0.00307857912, 0.001049977883,4.990594133e-05,1.214524329e-05,0.0002339917859,  0.02419866284
1.0000,2.0000,peg,3.517205585e-05,5.160295594e-05,  0.01825869665, 7.57164565e-06, 0.001012552559,  0.01031200104,  0.00360877339,0.0001337800595,3.112666016e-05,0.0009332141331,   0.0900490875
2.0000,0.5000,peg,7.127528342e-06,1.160213684e-05, 0.001883750699,1.342004195e-06,0.0001109065448, 0.001163538893,0.0003752797066,2.758456707e-05,6.961147134e-06,5.332358783e-05, 0.003730050058
2.0000,1.0000,peg,1.081750547e-05,1.713939229e-05, 0.004324275366,  2.3115735e-06,0.0002471913257, 0.002518590529,0.0008770420232,4.224808391e-05,1.011357644e-05,0.0002083854745,  0.01191320634
2.0000,2.0000,peg,2.557741401e-05,3.928841407e-05,  0.01408637404,6.189850719e-06,0.0007923304494,  0.00793879707,  0.00288409129,0.0001009021513,2.272329364e-05, 0.000828633021,  0.04464583148
