piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.00010625,-0.00011817,-2.4701e-05,1.6668e-05,4.3881e-06,-4.5758e-05,-0.00016738,-0.00017639,-0.00010069,-0.011924,-0.00017346,0.0024202,-0.016856,-3.6255e-06,0.00021958,0.00079805,-0.015948,-0.016856,-0.018429
-9.5932e-05,-0.00010642,-2.3341e-05,1.5373e-05,3.9092e-06,-4.2624e-05,-0.00015054,-0.00015891,-9.0937e-05,-0.012047,-0.00015714,0.0022951,-0.017106,-1.199e-05,0.00020733,0.00073072,-0.016157,-0.017092,-0.018568
-8.6622e-05,-9.5846e-05,-2.2029e-05,1.4178e-05,3.4814e-06,-3.9689e-05,-0.00013538,-0.00014317,-8.2139e-05,-0.012157,-0.00014237,0.0021734,-0.017332,-1.8831e-05,0.00019554,0.00066914,-0.016345,-0.017304,-0.018694
-7.822e-05,-8.632e-05,-2.0768e-05,1.3076e-05,3.0993e-06,-3.6944e-05,-0.00012175,-0.00012899,-7.4197e-05,-0.012255,-0.000129,0.0020553,-0.017535,-2.4356e-05,0.00018423,0.00061281,-0.016514,-0.017495,-0.018807
-7.0639e-05,-7.7742e-05,-1.9559e-05,1.2059e-05,2.7581e-06,-3.4377e-05,-0.00010949,-0.00011621,-6.7028e-05,-0.012341,-0.00011691,0.0019413,-0.017718,-2.8745e-05,0.0001734,0.00056128,-0.016665,-0.017667,-0.01891
-6.3796e-05,-7.0018e-05,-1.8403e-05,1.1121e-05,2.4535e-06,-3.1978e-05,-9.8468e-05,-0.00010471,-6.0556e-05,-0.012418,-0.00010596,0.0018314,-0.017884,-3.2157e-05,0.00016306,0.00051414,-0.016802,-0.017822,-0.019003
-5.7621e-05,-6.3062e-05,-1.7299e-05,1.0256e-05,2.1816e-06,-2.9737e-05,-8.855e-05,-9.4345e-05,-5.4713e-05,-0.012486,-9.6041e-05,0.0017259,-0.018032,-3.4734e-05,0.0001532,0.00047101,-0.016925,-0.017962,-0.019086
-5.2047e-05,-5.6798e-05,-1.6248e-05,9.4576e-06,1.939e-06,-2.7645e-05,-7.9629e-05,-8.5009e-05,-4.9438e-05,-0.012547,-8.7064e-05,0.0016249,-0.018166,-3.6598e-05,0.00014382,0.00043153,-0.017035,-0.018088,-0.019162
-4.7015e-05,-5.1157e-05,-1.5248e-05,8.7213e-06,1.7226e-06,-2.5692e-05,-7.1606e-05,-7.6599e-05,-4.4675e-05,-0.012601,-7.8936e-05,0.0015283,-0.018287,-3.7854e-05,0.00013491,0.00039541,-0.017135,-0.018201,-0.01923
-4.2473e-05,-4.6078e-05,-1.4299e-05,8.0422e-06,1.5296e-06,-2.3871e-05,-6.439e-05,-6.9023e-05,-4.0374e-05,-0.012648,-7.1575e-05,0.0014362,-0.018396,-3.8599e-05,0.00012646,0.00036234,-0.017224,-0.018303,-0.019292
-3.8373e-05,-4.1503e-05,-1.34e-05,7.4158e-06,1.3575e-06,-2.2173e-05,-5.7899e-05,-6.2198e-05,-3.649e-05,-0.01269,-6.4908e-05,0.0013485,-0.018494,-3.8912e-05,0.00011845,0.00033207,-0.017304,-0.018395,-0.019348
-3.4671e-05,-3.7383e-05,-1.2549e-05,6.838e-06,1.2042e-06,-2.0591e-05,-5.2062e-05,-5.6049e-05,-3.2982e-05,-0.012728,-5.8869e-05,0.0012652,-0.018582,-3.8866e-05,0.00011089,0.00030436,-0.017377,-0.018478,-0.019398
-3.1329e-05,-3.3673e-05,-1.1745e-05,6.3051e-06,1.0675e-06,-1.9117e-05,-4.6812e-05,-5.051e-05,-2.9814e-05,-0.012761,-5.3399e-05,0.0011861,-0.018662,-3.8521e-05,0.00010374,0.00027899,-0.017442,-0.018553,-0.019444
-2.8311e-05,-3.0332e-05,-1.0985e-05,5.8136e-06,9.4583e-07,-1.7745e-05,-4.2091e-05,-4.5519e-05,-2.6952e-05,-0.01279,-4.8443e-05,0.0011113,-0.018733,-3.7933e-05,9.6997e-05,0.00025575,-0.0175,-0.018621,-0.019485
-2.5585e-05,-2.7322e-05,-1.0269e-05,5.3603e-06,8.3747e-07,-1.6467e-05,-3.7845e-05,-4.1023e-05,-2.4368e-05,-0.012815,-4.3952e-05,0.0010404,-0.018798,-3.7146e-05,9.0643e-05,0.00023447,-0.017552,-0.018681,-0.019523
-2.3124e-05,-2.4612e-05,-9.5943e-06,4.9423e-06,7.4104e-07,-1.5278e-05,-3.4026e-05,-3.6972e-05,-2.2033e-05,-0.012838,-3.9883e-05,0.00097352,-0.018856,-3.6201e-05,8.4661e-05,0.00021499,-0.0176,-0.018736,-0.019556
