piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-5.6638e-06,-2.0158e-06,-8.4872e-06,6.2078e-06,1.7279e-06,-1.6423e-05,1.1447e-06,-2.8131e-06,-5.9146e-06,-0.0012503,-1.2868e-05,0.0015805,-0.0014526,-0.00010577,0.00013781,0.00016375,-0.0014261,-0.0014557,-0.0014586
-5.0583e-06,-1.7315e-06,-8.6936e-06,5.6041e-06,1.3138e-06,-1.5611e-05,1.0999e-06,-2.5271e-06,-5.2816e-06,-0.0012315,-1.2055e-05,0.0014651,-0.0014591,-9.9588e-05,0.00012691,0.0001524,-0.0014246,-0.0014595,-0.0014667
-4.5324e-06,-1.4947e-06,-8.7089e-06,5.0709e-06,9.8789e-07,-1.4768e-05,1.0496e-06,-2.2765e-06,-4.732e-06,-0.0012141,-1.1266e-05,0.0013569,-0.0014647,-9.3464e-05,0.00011687,0.00014163,-0.0014231,-0.0014629,-0.001474
-4.0735e-06,-1.2967e-06,-8.5831e-06,4.5981e-06,7.3212e-07,-1.3913e-05,9.9603e-07,-2.0561e-06,-4.2524e-06,-0.0011981,-1.0507e-05,0.0012559,-0.0014695,-8.748e-05,0.00010764,0.00013147,-0.0014217,-0.0014659,-0.0014805
-3.6711e-06,-1.1303e-06,-8.3553e-06,4.1773e-06,5.3208e-07,-1.3065e-05,9.4084e-07,-1.8612e-06,-3.832e-06,-0.0011834,-9.7821e-06,0.0011616,-0.0014737,-8.1692e-05,9.914e-05,0.00012191,-0.0014204,-0.0014687,-0.0014863
-3.3168e-06,-9.8985e-07,-8.0558e-06,3.8014e-06,3.7626e-07,-1.2233e-05,8.8535e-07,-1.6883e-06,-3.4618e-06,-0.0011699,-9.094e-06,0.0010739,-0.0014774,-7.614e-05,9.1315e-05,0.00011294,-0.0014192,-0.0014712,-0.0014916
-3.0034e-06,-8.7078e-07,-7.7084e-06,3.4645e-06,2.555e-07,-1.1428e-05,8.3052e-07,-1.5343e-06,-3.1345e-06,-0.0011574,-8.4437e-06,0.00099233,-0.0014806,-7.085e-05,8.411e-05,0.00010456,-0.001418,-0.0014734,-0.0014964
-2.7251e-06,-7.6931e-07,-7.3309e-06,3.1616e-06,1.6247e-07,-1.0655e-05,7.7703e-07,-1.3966e-06,-2.8439e-06,-0.0011459,-7.8315e-06,0.00091658,-0.0014835,-6.5836e-05,7.7476e-05,9.6733e-05,-0.001417,-0.0014755,-0.0015008
-2.4772e-06,-6.8241e-07,-6.9373e-06,2.8887e-06,9.1343e-08,-9.9173e-06,7.2538e-07,-1.2732e-06,-2.585e-06,-0.0011353,-7.257e-06,0.00084633,-0.001486,-6.1104e-05,7.1367e-05,8.9442e-05,-0.0014159,-0.0014774,-0.0015047
-2.2554e-06,-6.0763e-07,-6.5381e-06,2.642e-06,3.7483e-08,-9.2175e-06,6.7589e-07,-1.1622e-06,-2.3534e-06,-0.0011256,-6.7193e-06,0.00078123,-0.0014882,-5.6654e-05,6.5741e-05,8.2661e-05,-0.001415,-0.0014791,-0.0015083
-2.0565e-06,-5.4294e-07,-6.1409e-06,2.4186e-06,-2.8042e-09,-8.5567e-06,6.2878e-07,-1.0621e-06,-2.1457e-06,-0.0011166,-6.2173e-06,0.00072095,-0.0014902,-5.2483e-05,6.056e-05,7.6362e-05,-0.0014141,-0.0014807,-0.0015116
-1.8775e-06,-4.8672e-07,-5.7515e-06,2.2159e-06,-3.2453e-08,-7.9349e-06,5.8416e-07,-9.7156e-07,-1.9589e-06,-0.0011083,-5.7494e-06,0.00066517,-0.001492,-4.8583e-05,5.5787e-05,7.0517e-05,-0.0014133,-0.0014821,-0.0015146
-1.716e-06,-4.3762e-07,-5.3739e-06,2.0316e-06,-5.3795e-08,-7.3517e-06,5.4208e-07,-8.8956e-07,-1.7903e-06,-0.0011007,-5.3141e-06,0.00061359,-0.0014936,-4.4943e-05,5.1392e-05,6.5099e-05,-0.0014126,-0.0014834,-0.0015173
-1.57e-06,-3.9455e-07,-5.0111e-06,1.8638e-06,-6.8678e-08,-6.8062e-06,5.0253e-07,-8.1512e-07,-1.6379e-06,-0.0010937,-4.9096e-06,0.00056592,-0.001495,-4.1553e-05,4.7344e-05,6.0081e-05,-0.0014119,-0.0014846,-0.0015199
-1.4376e-06,-3.5659e-07,-4.6648e-06,1.7108e-06,-7.8566e-08,-6.297e-06,4.6547e-07,-7.4742e-07,-1.4998e-06,-0.0010873,-4.5342e-06,0.00052188,-0.0014964,-3.8401e-05,4.3615e-05,5.5437e-05,-0.0014112,-0.0014858,-0.0015222
-1.3175e-06,-3.23e-07,-4.3361e-06,1.5711e-06,-8.4617e-08,-5.8226e-06,4.3083e-07,-6.8577e-07,-1.3744e-06,-0.0010813,-4.1861e-06,0.0004812,-0.0014975,-3.5473e-05,4.018e-05,5.1142e-05,-0.0014106,-0.0014868,-0.0015243
-1.2081e-06,-2.9316e-07,-4.0256e-06,1.4434e-06,-8.7745e-08,-5.3813e-06,3.9852e-07,-6.2953e-07,-1.2603e-06,-0.0010758,-3.8637e-06,0.00044364,-0.0014986,-3.2756e-05,3.7016e-05,4.7171e-05,-0.0014101,-0.0014877,-0.0015262
-1.1086e-06,-2.6655e-07,-3.7334e-06,1.3266e-06,-8.867e-08,-4.9713e-06,3.6843e-07,-5.7817e-07,-1.1564e-06,-0.0010708,-3.5652e-06,0.00040898,-0.0014996,-3.0239e-05,3.4101e-05,4.3502e-05,-0.0014096,-0.0014886,-0.001528
-1.0177e-06,-2.4274e-07,-3.4593e-06,1.2196e-06,-8.7956e-08,-4.5909e-06,3.4045e-07,-5.3121e-07,-1.0616e-06,-0.0010661,-3.2891e-06,0.000377,-0.0015005,-2.7907e-05,3.1416e-05,4.0113e-05,-0.0014091,-0.0014893,-0.0015296
