topology,sector,direct,total,indirect,indirect_share,lambda_D,alpha
triangle,Resource,0.0767,0.15470101078980922,0.07800101078980921,0.5042049201332527,0.07222525740025076,0.5025000000000001
triangle,Manufacturing,0.1945,0.28465577699186845,0.09015577699186844,0.3167185923454624,0.3815679902047858,0.3589000000000001
triangle,Services,0.0704,0.11884039032926724,0.04844039032926724,0.4076088120802617,1.108319592187606,0.6036
hub_spoke,Resource,0.0767,0.1548440125533725,0.07814401255337249,0.5046627975133192,0.09517892475787738,0.6303143704680291
hub_spoke,Manufacturing,0.1945,0.3052068696212461,0.1107068696212461,0.36272731920690543,0.4311924379562464,0.2541801582069876
hub_spoke,Services,0.0704,0.13044079614742135,0.060040796147421346,0.46029154927546245,1.1357096747793862,0.5805054713249835
chain,Resource,0.0767,0.08291891891891891,0.006218918918918903,0.07499999999999982,0.29163516212743656,0.8483
chain,Manufacturing,0.1945,0.28639065866763885,0.09189065866763885,0.32085773710335813,0.5923526928473871,0.1934723282442749
chain,Services,0.0704,0.18968762821295132,0.11928762821295132,0.628863512801341,1.0137620929281919,0.4232276717557252
