piDC,PIC,y_gap,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.00027982,-0.00061174,0.00035169,-0.0074874,-0.00095354,-0.00018861,-0.00019831,-0.00030644,0.00018349,0.00051221,0.00020466,-0.00011057,0.00080109,-0.010387,-0.0014123,-0.00028865
-0.00020586,-0.00029223,0.00055639,-0.001318,-0.00059062,-0.0001709,-0.00049801,-0.00018181,0.00030732,-2.9696e-05,0.00020096,-2.4334e-05,0.0007896,-0.012215,-0.002287,-0.00055019
-0.00014655,-0.00014559,0.00061848,0.00023612,-0.00028541,-0.0001384,-0.00067186,-0.00011327,0.00039899,-0.00034677,0.00018697,1.3458e-05,0.00075413,-0.011887,-0.0027097,-0.000762
-9.903e-05,-7.1261e-05,0.0006255,0.00060304,-9.4964e-05,-0.00010334,-0.00077602,-6.9294e-05,0.00046877,-0.00054719,0.00017069,3.4137e-05,0.00071198,-0.011051,-0.0028504,-0.00092014
-6.1343e-05,-2.6277e-05,0.00060851,0.00066212,1.2694e-05,-7.0975e-05,-0.00083524,-3.8722e-05,0.00052172,-0.00067499,0.00015438,4.7173e-05,0.00066834,-0.010132,-0.0028316,-0.0010288
-3.1839e-05,3.6613e-06,0.0005803,0.00064091,7.0349e-05,-4.3275e-05,-0.00086314,-1.6716e-05,0.00056099,-0.00075278,0.00013875,5.5903e-05,0.00062504,-0.0092433,-0.0027274,-0.001095
-9.0811e-06,2.4335e-05,0.00054691,0.00059937,9.9486e-05,-2.0624e-05,-0.00086847,-7.1792e-07,0.00058892,-0.00079449,0.00012407,6.178e-05,0.00058288,-0.0084119,-0.00258,-0.0011265
8.1692e-06,3.8647e-05,0.00051143,0.00055384,0.00011264,-2.7115e-06,-0.0008574,1.0856e-05,0.00060736,-0.0008097,0.00011042,6.5589e-05,0.0005423,-0.0076436,-0.0024132,-0.0011307
2.0962e-05,4.8337e-05,0.00047561,0.00050901,0.00011685,1.1048e-05,-0.00083451,1.9084e-05,0.00061783,-0.00080545,9.7824e-05,6.7833e-05,0.00050354,-0.0069375,-0.0022401,-0.0011138
3.0178e-05,5.4578e-05,0.00044043,0.00046635,0.00011604,2.1306e-05,-0.00080326,2.4752e-05,0.00062166,-0.00078702,8.6277e-05,6.8864e-05,0.00046675,-0.0062905,-0.0020683,-0.0010812
3.6546e-05,5.8213e-05,0.00040649,0.00042633,0.00011241,2.8681e-05,-0.00076632,2.8449e-05,0.00061996,-0.00075851,7.5745e-05,6.8949e-05,0.00043199,-0.0056991,-0.0019018,-0.0010373
4.0664e-05,5.9876e-05,0.00037411,0.00038907,0.00010721,3.3729e-05,-0.00072576,3.0632e-05,0.00061369,-0.00072306,6.6185e-05,6.8296e-05,0.00039929,-0.0051594,-0.001743,-0.00098567
4.3026e-05,6.0056e-05,0.0003435,0.00035455,0.00010118,3.6924e-05,-0.00068316,3.1659e-05,0.00060368,-0.00068311,5.7543e-05,6.707e-05,0.00036864,-0.0046675,-0.0015932,-0.00092916
4.4028e-05,5.9133e-05,0.00031475,0.00032268,9.4772e-05,3.8665e-05,-0.00063974,3.1812e-05,0.00059064,-0.00064055,4.9763e-05,6.5405e-05,0.00033998,-0.0042199,-0.0014528,-0.00086999
4.3995e-05,5.7403e-05,0.00028788,0.00029335,8.8256e-05,3.9282e-05,-0.00059644,3.1314e-05,0.0005752,-0.00059683,4.2786e-05,6.341e-05,0.00031327,-0.003813,-0.0013221,-0.00080987
4.3188e-05,5.5103e-05,0.00026287,0.00026642,8.1808e-05,3.9043e-05,-0.00055393,3.0343e-05,0.00055788,-0.00055304,3.6549e-05,6.1174e-05,0.00028842,-0.0034434,-0.0012009,-0.00075012
4.1814e-05,5.2416e-05,0.00023969,0.00024174,7.554e-05,3.8166e-05,-0.00051273,2.9037e-05,0.00053915,-0.00051,3.0996e-05,5.877e-05,0.00026534,-0.003108,-0.001089,-0.00069172
4.004e-05,4.9486e-05,0.00021827,0.00021916,6.9524e-05,3.6826e-05,-0.0004732,2.7507e-05,0.00051938,-0.00046831,2.6067e-05,5.6257e-05,0.00024396,-0.002804,-0.00098606,-0.00063536
