piDC,PIC,y_gap,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-8.3333e-05,-7.9414e-05,-6.3895e-05,-7.5998e-05,-8.0797e-05,-8.3564e-05,0.00022149,-9.1413e-05,0.0038716,0.0014642,-0.00025024,0.00026342,0.00032924,0.0012032,0.0014206,0.0016202
-7.8109e-05,-7.4002e-05,-6.1286e-05,-7.0058e-05,-7.4901e-05,-7.8394e-05,0.00020843,-8.6141e-05,0.0036136,0.001352,-0.00023775,0.00024998,0.00031223,0.001106,0.0013096,0.0015002
-7.3024e-05,-6.8823e-05,-5.8446e-05,-6.453e-05,-6.935e-05,-7.3346e-05,0.00019542,-8.0943e-05,0.0033689,0.0012477,-0.00022514,0.00023652,0.00029526,0.0010165,0.0012069,0.001388
-6.812e-05,-6.3897e-05,-5.5469e-05,-5.9398e-05,-6.4143e-05,-6.8466e-05,0.00018266,-7.5875e-05,0.0031375,0.0011509,-0.0002126,0.00022319,0.00027852,0.00093412,0.0011119,0.0012832
-6.3425e-05,-5.9238e-05,-5.2431e-05,-5.4644e-05,-5.9274e-05,-6.3783e-05,0.0001703,-7.0973e-05,0.0029192,0.0010612,-0.00020025,0.00021013,0.00026215,0.00085832,0.0010241,0.0011856
-5.8957e-05,-5.485e-05,-4.9389e-05,-5.0246e-05,-5.4732e-05,-5.932e-05,0.00015842,-6.6267e-05,0.0027138,0.00097817,-0.00018821,0.00019743,0.00024626,0.00078862,0.00094306,0.0010948
-5.4726e-05,-5.0733e-05,-4.6387e-05,-4.6185e-05,-5.0504e-05,-5.5089e-05,0.00014709,-6.1774e-05,0.0025209,0.00090135,-0.00017654,0.00018516,0.00023092,0.00072455,0.00086826,0.0010105
-5.0737e-05,-4.6882e-05,-4.3458e-05,-4.244e-05,-4.6577e-05,-5.1094e-05,0.00013635,-5.7505e-05,0.0023401,0.00083035,-0.00016532,0.00017337,0.0002162,0.00066567,0.00079928,0.00093228
-4.699e-05,-4.3289e-05,-4.0625e-05,-3.8988e-05,-4.2935e-05,-4.7337e-05,0.00012622,-5.3465e-05,0.0021709,0.00076479,-0.00015457,0.00016209,0.00020214,0.00061159,0.00073569,0.00085984
-4.3479e-05,-3.9944e-05,-3.7906e-05,-3.5811e-05,-3.9561e-05,-4.3814e-05,0.00011671,-4.9655e-05,0.0020128,0.00070428,-0.00014432,0.00015136,0.00018875,0.00056191,0.00067709,0.00079279
-4.0199e-05,-3.6837e-05,-3.5311e-05,-3.2888e-05,-3.644e-05,-4.052e-05,0.00010781,-4.6073e-05,0.0018651,0.00064847,-0.00013458,0.00014116,0.00017604,0.00051629,0.00062312,0.00073078
-3.7141e-05,-3.3955e-05,-3.2847e-05,-3.0201e-05,-3.3556e-05,-3.7448e-05,9.9498e-05,-4.2713e-05,0.0017275,0.00059701,-0.00012537,0.00013152,0.00016402,0.00047439,0.00057342,0.00067347
-3.4296e-05,-3.1286e-05,-3.0516e-05,-2.7731e-05,-3.0893e-05,-3.4587e-05,9.1762e-05,-3.9569e-05,0.0015994,0.00054958,-0.00011667,0.00012241,0.00015268,0.00043592,0.00052767,0.00062054
-3.1653e-05,-2.8816e-05,-2.832e-05,-2.5463e-05,-2.8435e-05,-3.1927e-05,8.4576e-05,-3.6632e-05,0.0014801,0.00050588,-0.00010848,0.00011384,0.000142,0.0004006,0.00048556,0.00057168
-2.92e-05,-2.6534e-05,-2.6257e-05,-2.338e-05,-2.6169e-05,-2.9459e-05,7.7912e-05,-3.3894e-05,0.0013693,0.00046564,-0.00010078,0.00010578,0.00013197,0.00036816,0.0004468,0.0005266
-2.6928e-05,-2.4427e-05,-2.4325e-05,-2.1468e-05,-2.408e-05,-2.717e-05,7.1742e-05,-3.1344e-05,0.0012663,0.00042857,-9.3555e-05,9.8226e-05,0.00012255,0.00033838,0.00041113,0.00048502
-2.4824e-05,-2.2482e-05,-2.2517e-05,-1.9713e-05,-2.2156e-05,-2.5051e-05,6.6037e-05,-2.8973e-05,0.0011707,0.00039445,-8.6795e-05,9.115e-05,0.00011374,0.00031104,0.00037832,0.00044668
