regime,piDC,PIC,y_gap,PI1,PI2,PI3,I,BSTAR
float,2.271024039e-05,2.382922188e-05,1.245867581e-05,0.0001031986734,5.732095487e-05,2.274712354e-05,3.607783641e-05,0.001592364444
peg,1.246783625e-05,1.802348737e-05,0.0001562400046,0.0001378294338,5.798390021e-05,1.18775761e-05,6.474501498e-07,0.00158641473
managed,6.692537136e-06,7.274622575e-06,2.854370719e-05,7.80071094e-05,3.63615994e-05,6.938943322e-06,8.132338563e-06,0.001591708809
