zeta,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.250000,float,1.374719031e-05, 2.85385371e-05, 5.05299007e-05,9.452945263e-07,3.317951804e-05,5.659890043e-05,0.0001188896019,2.754805773e-05,1.396177642e-05,4.817664463e-05,   0.0184152107
0.250000,peg,2.245788283e-05, 3.50696046e-05, 0.007616504743,3.373425099e-06,0.0003988968172, 0.004491423938, 0.002015033919,0.0001124286088,1.929571545e-05,0.0002481026839,  0.01542882183
0.250000,managed,5.186771521e-06,1.196145141e-05,0.0001282247283,7.985918247e-07,3.194195121e-05,0.0001213220212,0.0001439242798,1.929701374e-05,5.370432151e-06,4.163616975e-05,  0.01785541473
0.500000,float,1.387873355e-05,2.720718799e-05,6.342110912e-05,9.604919421e-07, 3.36996906e-05,6.583358363e-05,0.0001199442143,2.808951573e-05,1.408203212e-05,5.252500032e-05,  0.02022739216
0.500000,peg,1.834508615e-05,2.843495363e-05, 0.006649792016,3.049312723e-06,0.0003562480639, 0.003900093376, 0.001593016208, 8.37447629e-05,1.616442686e-05,0.0002424494011,  0.01864723886
0.500000,managed,4.849976488e-06,1.107573696e-05,0.0001158824465,8.132634157e-07,3.230682178e-05,0.0001096381691, 0.000128404017,1.765369308e-05,5.096705137e-06,4.666415798e-05,  0.01992792151
0.750000,float,1.428691374e-05, 2.64196803e-05,7.786186854e-05,9.849457427e-07,3.459284723e-05,7.589517665e-05,0.0001223969111, 2.92393125e-05,1.446673039e-05, 5.74675026e-05,  0.02183623184
0.750000,peg,1.535535711e-05,2.356497886e-05, 0.005897252341,2.804065954e-06, 0.000323463173, 0.003441160111, 0.001282685229,6.387992061e-05,1.387156305e-05,0.0002377994806,  0.02158486652
0.750000,managed,4.651030662e-06,1.043808498e-05,0.0001092452006,8.376580613e-07,3.316175287e-05,0.0001020112135,0.0001183697267,1.698251898e-05, 4.93072491e-06,5.186130356e-05,  0.02178315283
1.000000,float,1.488380119e-05,2.602833239e-05,9.365393894e-05,1.016993513e-06,3.577081638e-05,8.661209381e-05,0.0001256155424,3.077247915e-05,1.503285722e-05,6.289132182e-05,  0.02322135769
1.000000,peg,1.312788176e-05, 1.99131379e-05, 0.005302537715,2.618298911e-06,0.0002980859566, 0.003078803498, 0.001049879435,4.991200451e-05, 1.21495283e-05,0.0002339911537,  0.02419850063
1.000000,managed,4.552792001e-06,9.983686666e-06,0.0001076202194,8.704824726e-07,3.444108049e-05,9.771119188e-05,0.0001121566688,1.696430157e-05,4.845174559e-06,5.720373437e-05,  0.02339776743
1.500000,float,1.643757982e-05,2.606684783e-05,0.0001287430928,1.100166431e-06,3.876582334e-05,0.0001096012752,0.0001328424087,3.448203991e-05,1.651442178e-05,7.491930241e-05,  0.02526664436
1.500000,peg,1.012690579e-05,1.496760026e-05, 0.004446428786,2.378359549e-06,0.0002634933611, 0.002555239702,0.0007350784452,3.292488031e-05,9.802082513e-06,0.0002284769949,  0.02837068974
1.500000,managed,4.563167863e-06,9.459269099e-06,0.0001171305866,9.587175616e-07,3.811197175e-05, 9.69180713e-05,0.0001068462791,1.811509289e-05,4.844274024e-06, 6.82906196e-05,  0.02584480565
2.000000,float,1.830138676e-05,2.685803553e-05,0.0001679892804,1.206432551e-06,4.241464215e-05,0.0001343640153,0.0001398271205,3.866401803e-05,1.830071327e-05,8.833025753e-05,  0.02629480713
2.000000,peg,8.291518645e-06,1.193237778e-05, 0.003894362388,2.268479653e-06,0.0002444950029, 0.002211540967,0.0005429490862,2.436280369e-05,8.345770394e-06,0.0002253299483,  0.03108017939
2.000000,managed, 4.75513234e-06,9.284278438e-06,0.0001408369976,1.075843948e-06,4.313618161e-05,0.0001040076233,0.0001066274467,2.015700616e-05,4.998839564e-06,7.994513084e-05,  0.02719315258
2.500000,float,2.040567098e-05,2.820559201e-05,0.0002112096919,1.336949187e-06,4.659915897e-05,0.0001608995471,0.0001459446375,4.320922128e-05,2.032613624e-05,0.0001031229594,  0.02628643219
2.500000,peg,7.122139648e-06,9.991951409e-06, 0.003548377583,2.258571131e-06,0.0002371561676, 0.001986083825,0.0004213364792, 2.03810383e-05,7.411984287e-06,0.0002242552559,  0.03231216619
2.500000,managed,5.068379753e-06, 9.35350044e-06,0.0001765302275,1.223966225e-06,4.948531856e-05,0.0001170304728,0.0001085569473,2.272931583e-05,5.262549343e-06,9.229334687e-05,   0.0274198745
