target,rho,total
cpi_it,0.0,11.52535532262469
cpi_it,1.0,18.483830499644874
cpi_it,2.0,45.99281717629687
float,0.0,7.4430599298826845
float,1.0,12.569890785996432
float,2.0,34.53084754214667
ppi_it,0.0,6.143867988324275
ppi_it,1.0,10.55408978593805
ppi_it,2.0,33.45683154344655
