phi_pi,phi_y,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
1.5000,0.0000, 2.22901963e-05,5.552065703e-05, 0.001958234679,2.073512747e-06,0.0001256964908, 0.001164849048, 0.000354216586,5.871517026e-05,2.152197759e-05,5.117124953e-05,  0.02265873758
1.5000,0.5000,1.488380119e-05,2.602833239e-05,9.365393894e-05,1.016993513e-06,3.577081638e-05,8.661209381e-05,0.0001256155424,3.077247915e-05,1.503285722e-05,6.289132182e-05,  0.02322135769
1.5000,1.0000, 1.47688336e-05,2.408537654e-05,2.931076501e-05,9.489034082e-07,3.222451593e-05,5.230605259e-05,0.0001202076617,2.966932616e-05,1.495142533e-05,6.463419858e-05,  0.02329157339
3.0000,0.0000,4.741197569e-06,2.491567246e-05,0.0007959558586,1.681161171e-06,8.423269562e-05,0.0004100552007,0.0001947626012, 2.92507248e-05,4.564655121e-06,4.353716776e-05,  0.02295435046
3.0000,0.5000, 6.96066229e-06,1.780824877e-05,0.0001135420354,1.133306218e-06,4.337214886e-05,5.961818512e-05,0.0001221573297,2.240260574e-05,7.160500918e-06,5.451515566e-05,  0.02322869207
3.0000,1.0000, 9.20006085e-06,1.848892338e-05,4.365384265e-05,1.031441971e-06,3.738160964e-05, 3.45485641e-05,0.0001177626301,2.373035716e-05,9.422847035e-06,5.843527238e-05,  0.02328873767
5.0000,0.0000,1.671288592e-06,1.730214928e-05,0.0005202184223,1.545418442e-06,7.348613307e-05,0.0002361237262,0.0001596476162,2.256267849e-05,1.657599631e-06,4.263056301e-05,  0.02309196432
5.0000,0.5000,3.476044812e-06,1.416847211e-05,0.0001581921438,1.211208214e-06,4.925301528e-05,6.391626826e-05,0.0001239520731,1.909467975e-05,3.678869354e-06,4.996825423e-05,  0.02323997891
5.0000,1.0000,5.620245921e-06,1.497460355e-05,7.786114121e-05,1.103878767e-06,4.238444325e-05,3.477093144e-05,0.0001184459084,2.018965158e-05,5.855351261e-06,5.388929853e-05,  0.02328787214
