delta3,rho,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.250000,0.000000,peg,4.434538484e-05,4.953475559e-05, 0.002323860481, 5.99258652e-07,9.056911318e-05, 0.001642891195, 0.002529061984,7.025670086e-05,4.368682154e-05,0.0002351318007,  0.02314763589
0.250000,0.000000,managed,9.705380025e-06,1.184229204e-05,6.056445992e-05,7.656985674e-08,1.820686173e-05,5.945654012e-05,0.0001514616614,1.666247374e-05,1.208764755e-05,5.732525633e-05,  0.02265601437
0.250000,1.000000,float,5.085296677e-05,6.060831515e-05,9.481107758e-05,9.022319095e-07,3.158955179e-05,6.066112007e-05, 0.000156215121, 5.94070152e-05,5.288232258e-05, 0.000112232178,  0.02321299826
0.250000,1.000000,peg,3.674606308e-05,3.747323607e-05, 0.003997423938,2.532813886e-06,0.0002745841027, 0.002137110601,0.0009836700141,4.514598241e-05,3.850321551e-05,0.0002340441654,  0.02416392025
0.250000,1.000000,managed,1.127965393e-05,1.432306321e-05,0.0001109262488, 7.95861885e-07,3.238007402e-05,7.172680976e-05,0.0001138175153,1.812077093e-05,1.359219851e-05,6.236665269e-05,   0.0234094385
0.250000,2.000000,float,8.070794234e-05,8.834798701e-05,0.0001547916937,5.265325107e-06,5.626620834e-05,8.384470517e-05,0.0001829561206,9.203211446e-05,8.203104575e-05,0.0001517508786,   0.0241419849
0.250000,2.000000,peg, 2.80096896e-05,2.647675574e-05, 0.008290255939,4.793497338e-05,0.0008127629169, 0.003246463136,0.0002211987021,2.583809482e-05,3.328608211e-05,0.0002337775067,  0.02508379842
0.250000,2.000000,managed,1.674027263e-05,2.025513357e-05,0.0003037409855,6.667729452e-06,8.551832503e-05,0.0001080117962,0.0001142765827,2.676773619e-05,1.845990504e-05, 7.44607277e-05,  0.02430256061
0.400000,0.000000,float,8.181037397e-05,9.680808368e-05,7.160746624e-05,2.924080917e-08,1.620373922e-05,5.535104632e-05,0.0002074090379,7.835143801e-05,9.704082999e-05,0.0001546928887,  0.02248888825
0.400000,0.000000,peg,9.541314183e-05,0.0001018651788, 0.001315767746,3.057526993e-07,8.777144764e-05,0.0008070427982, 0.002041844675,5.466348815e-05,0.0001377983715,0.0002351428647,  0.02315628502
0.400000,0.000000,managed,1.734898606e-05,1.945392784e-05,6.604135725e-05,4.979490979e-08,1.467663645e-05,5.565747871e-05,0.0001504625985,1.621797519e-05,3.209778661e-05,6.192378449e-05,  0.02268045282
0.400000,1.000000,float, 0.000116188883,0.0001302014757,0.0001230232843,7.208402659e-07,2.395016813e-05,7.314032608e-05,0.0002136408761,0.0001119319744,0.0001324538664,0.0001929245161,  0.02319688729
0.400000,1.000000,peg,7.382864752e-05,8.209572143e-05, 0.002445053473,2.367744669e-06,0.0002359996856, 0.001128033914,0.0008606572018,3.946518138e-05,0.0001191217828,0.0002341383429,  0.02411021732
0.400000,1.000000,managed,2.059454346e-05,2.444668816e-05,0.0001423105154,6.712815493e-07,2.773847978e-05,7.884977096e-05,0.0001171477553,1.947367798e-05,3.548356741e-05,6.952445258e-05,  0.02343161472
0.400000,2.000000,float,0.0002000075625, 0.000211506103, 0.000242333299,4.678145861e-06,4.508947176e-05, 0.000106258974,0.0002967572384,0.0001977481241,0.0002156891951,0.0002833411944,   0.0241331045
0.400000,2.000000,peg,5.238149829e-05,6.292190176e-05, 0.005495808794,3.989820441e-05, 0.000669282515, 0.001861241479,0.0002390772466,2.742521741e-05,0.0001001767369,0.0002337952325,  0.02506511242
0.400000,2.000000,managed,3.279469693e-05,3.705465279e-05,0.0004406061955,6.865638841e-06, 8.48421854e-05,0.0001432551816, 0.000125471335,3.385202111e-05, 4.65267825e-05,8.722776508e-05,  0.02433674886
0.600000,0.000000,float, 0.000107096003,0.0001518493237,8.439853342e-05,2.284025644e-08,9.939461075e-06, 7.90793677e-05,0.0002313515301,9.652087035e-05,0.0001756275354,0.0001882943798,    0.022465419
0.600000,0.000000,peg,9.950652668e-05,0.0001996388676, 0.000572396852,1.128305328e-07,8.282873634e-05, 0.000281010442, 0.001448351762,4.345968267e-05,0.0003396110169,0.0002351764676,  0.02314907423
0.600000,0.000000,managed,1.909873393e-05, 3.78886262e-05,8.380257586e-05,3.305462769e-08,1.032532937e-05,7.297022118e-05, 0.000153285369,1.521860784e-05,7.821677485e-05,6.784019891e-05,  0.02270996235
0.600000,1.000000,float,0.0001581518541,0.0002016588334,0.0001537479257,5.100957686e-07,1.396669696e-05,0.0001080790404,0.0002603828898, 0.000148979481, 0.000226038479, 0.000241993152,  0.02317705582
0.600000,1.000000,peg,7.413495492e-05,0.0001669388704, 0.001246509616,2.149901277e-06,0.0001950147913,0.0004531815494,0.0007059145425,3.521781024e-05,0.0002912592257,0.0002342468375,  0.02405564723
0.600000,1.000000,managed,2.368298126e-05,4.467779208e-05, 0.000181514166,5.221835467e-07,2.170458989e-05,0.0001067013036,0.0001237973414,2.012277807e-05,8.110141115e-05,7.601607119e-05,  0.02345765671
0.600000,2.000000,float,0.0002935829105, 0.000332959718,0.0003324744054,3.762059389e-06,3.029242339e-05,0.0001684806974,0.0003995963749,0.0002861377671,0.0003589622678, 0.000380919257,  0.02412183372
0.600000,2.000000,peg,5.238468951e-05,0.0001333737312, 0.003325815036,3.255192393e-05,0.0005393097028,0.0008974675439,0.0002635023161,2.870889601e-05,0.0002409620512,0.0002338067758,  0.02505424181
0.600000,2.000000,managed,4.163127511e-05,6.288048035e-05,0.0005641589302,6.617600595e-06,7.936930973e-05,0.0002022394753,0.0001391893842,3.899339489e-05,9.592146503e-05,9.651450815e-05,  0.02437490928
