calibration,sector,direct,total,indirect_share,buyer_dependence
Chile,Resource,0.0767,0.15470101078980922,0.5042049201332527,0.34580000000000005
Chile,Manufacturing,0.1945,0.28465577699186845,0.3167185923454624,0.2444
Chile,Services,0.0704,0.11884039032926724,0.4076088120802617,0.05990000000000001
Korea,Resource,0.0404,0.19827697103611228,0.7962446178752554,0.4576
Korea,Manufacturing,0.2409,0.4107752029948145,0.4135478523443368,0.1385
Korea,Services,0.0508,0.14616799640761574,0.6524547011075184,0.148
Czechia,Resource,0.156,0.30096787960562854,0.4816722628194953,0.3188
Czechia,Manufacturing,0.3178,0.4753984466803192,0.33150812288264786,0.1639
Czechia,Services,0.1009,0.18592080421485305,0.45729580707171236,0.07069999999999999
