regime,Phi_C,sum_lambda_Phi_s,cross_sector_total,within_sector_total (headline),pct_of_within,new_total
float,0.8949433763112874,0.7747651367252811,0.8348542565182843,25.47350595574341,3.277343362035539,26.308360212261693
peg,3.8437171859658705,5.301740634870368,4.572728910418119,102.04576797614415,4.48105688369861,106.61849688656227
managed,0.9526404469726009,0.7579320507251971,0.8552862488488989,10.170713410167846,8.409304385608328,11.025999659016744
