psi,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.00500000,float,1.475200701e-05,2.935672568e-05,0.0001067718693,1.069428867e-06,3.560264559e-05,9.725522251e-05,0.0001252168423,3.133289071e-05,  1.4893048e-05,6.895274251e-05,   0.0792639451
0.00500000,peg,1.837071437e-05,2.594622304e-05, 0.007156921213,3.172807159e-06, 0.000392704346, 0.004149097179, 0.001364772261,6.585292701e-05, 1.68335457e-05,0.0002652704598,  0.08270391183
0.00500000,managed,4.853641932e-06,1.153853698e-05,0.0001191292801,8.713020873e-07,3.501453928e-05,0.0001064655388,0.0001169268906,1.698373749e-05,5.170775319e-06,6.295260666e-05,  0.07991753762
0.01000000,float, 1.47927627e-05,2.779476693e-05,0.0001016167752,1.045130667e-06,3.573245987e-05,9.275764794e-05, 0.000125430063,3.106159491e-05, 1.49365296e-05,6.635639609e-05,  0.04405811492
0.01000000,peg,1.573199879e-05,2.294837787e-05, 0.006272506664,2.910899426e-06,0.0003478186313, 0.003637578611, 0.001216249122,5.805119234e-05,1.446600005e-05,0.0002527054621,  0.04595023226
0.01000000,managed,4.699447665e-06,1.082297505e-05,0.0001124999552,8.707624871e-07,3.467832009e-05,0.0001015809677,0.0001145274239,1.697124278e-05,5.004296837e-06, 6.09761339e-05,  0.04440970096
0.02000000,float,1.484533028e-05, 2.59897347e-05,9.367163177e-05,1.017098855e-06,3.576493865e-05, 8.66826613e-05,0.0001255825758,3.073618147e-05,1.499423564e-05,6.282380601e-05,  0.02322363659
0.02000000,peg,1.312339747e-05,1.990887265e-05, 0.005302066238,2.617197921e-06, 0.000298059543,  0.00307857912, 0.001049977883,4.990594133e-05,1.214524329e-05,0.0002339917859,  0.02419866284
0.04000000,float,1.490015333e-05,2.402747783e-05,8.244986411e-05,9.864127691e-07,3.562601526e-05,7.895822331e-05,0.0001255788267,3.037306748e-05,1.505642301e-05,5.841273918e-05,  0.01145211093
0.04000000,peg,1.081750547e-05,1.713939229e-05, 0.004324275366,  2.3115735e-06,0.0002471913257, 0.002518590529,0.0008770420232,4.224808391e-05,1.011357644e-05,0.0002083854745,  0.01191320634
0.04000000,managed,4.419966399e-06,9.039676725e-06,0.0001051377431,8.701414844e-07,3.435623068e-05,9.526329899e-05,0.0001101361499,1.694951538e-05,4.701172104e-06, 5.14362707e-05,  0.01153205357
0.08000000,float,1.495013658e-05,2.205118958e-05,6.824636177e-05,9.548681738e-07,3.526491039e-05,6.997076107e-05,0.0001253203413, 3.00127324e-05,1.511486256e-05,5.341502972e-05, 0.005225674975
0.08000000,peg,9.028897939e-06,1.491723911e-05, 0.003435642888,2.021131264e-06,0.0002000736144, 0.002013547402, 0.000712181628,3.591400719e-05,8.553620515e-06,0.0001765956954, 0.005421877921
0.08000000,managed,4.312178931e-06,8.043038738e-06,0.0001048146013,8.693372275e-07,3.443113691e-05,9.411859579e-05,0.0001087333596,1.691643208e-05,4.585082601e-06,4.400900872e-05,  0.00525806086
0.02000000,managed,4.552118121e-06,9.982982501e-06,0.0001076207679,8.704615671e-07,3.444077943e-05,9.771299736e-05,0.0001121603352,1.696418484e-05,4.844471742e-06,5.720327595e-05,  0.02339944192
