psi,rho,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.02000000,2.000000,peg,1.066047715e-05, 1.25339828e-05,  0.01069800292,  5.3857578e-05,0.0009200215322, 0.004535418471,0.0002119305638, 2.45876915e-05,1.081096965e-05,0.0002337614593,  0.02510284027
0.02000000,2.000000,managed,6.336351798e-06,1.223642681e-05, 0.000224548976, 6.11459879e-06,8.093013706e-05,0.0001244569133,0.0001079949709,2.176758306e-05,6.439883087e-06,6.529769598e-05,   0.0242834749
0.04000000,0.000000,float,1.117996125e-05,2.189883504e-05,6.368287013e-05, 6.47146372e-08,2.370035108e-05,6.566819988e-05,0.0001444510413, 2.74011774e-05,1.144807102e-05,4.929036241e-05,  0.01114488886
0.04000000,0.000000,peg,1.234526844e-05,2.415666607e-05, 0.002599033887,6.957679773e-07,7.833272183e-05, 0.001996789141, 0.002309157227,6.856091604e-05,1.114429083e-05,0.0002098767835,  0.01144287542
0.04000000,0.000000,managed,3.870624807e-06,8.101359665e-06,7.029455811e-05,9.258010125e-08,2.059815866e-05,8.648381037e-05,0.0001411984863,1.658160413e-05, 4.20675436e-06,4.862203437e-05,  0.01120362668
0.04000000,1.000000,float,1.493891425e-05, 2.40663389e-05,8.243453141e-05, 9.86307598e-07,3.563201651e-05,7.888870997e-05,0.0001256121532,3.040965514e-05,1.509533614e-05, 5.84798127e-05,  0.01145109456
0.04000000,1.000000,peg,1.082085729e-05,1.714264038e-05, 0.004324617585,2.312480158e-06,0.0002472111326, 0.002518748329,0.0008769566154,4.225243063e-05,1.011678501e-05,0.0002083844767,  0.01191314587
0.04000000,1.000000,managed,4.420557549e-06,9.040336379e-06,0.0001051371772,8.701687129e-07,3.435654045e-05,9.526119511e-05,0.0001101329495,1.694960381e-05,4.701786746e-06,5.143705298e-05,   0.0115312976
0.04000000,2.000000,float,2.230247534e-05,2.997356578e-05,0.0001154849903,5.298013108e-06,6.101730818e-05,0.0001133653402,0.0001284321413,4.001018307e-05,2.220922853e-05,7.627515111e-05,  0.01185165099
0.04000000,2.000000,peg,8.969120888e-06,1.121679686e-05, 0.008800527689,4.553431715e-05,0.0007650175358, 0.003738245646,0.0001921289703, 2.29101469e-05, 9.11997322e-06,0.0002082159484,  0.01229345826
0.04000000,2.000000,managed,6.261489291e-06,1.120673172e-05,0.0002248996387, 6.20408795e-06,8.078958245e-05,0.0001235236213,0.0001079930927,2.169374947e-05, 6.34795159e-06,5.915346513e-05,  0.01191376806
0.08000000,0.000000,float,1.115597473e-05, 1.95068868e-05,5.265003691e-05,6.363349673e-08,2.356107957e-05,5.683803927e-05,0.0001448229945,2.678101398e-05, 1.14368023e-05,4.439091437e-05, 0.005104166782
0.08000000,0.000000,peg,1.017115039e-05,2.045870261e-05, 0.002061007442,5.397412537e-07,6.521337771e-05, 0.001593694353, 0.001841783697,5.578027019e-05,9.332277373e-06,0.0001783333978, 0.005235843271
0.08000000,0.000000,managed,3.725173905e-06,7.257780061e-06,6.877567769e-05,8.188803727e-08,2.065253471e-05,8.436537536e-05,0.0001327107698,1.657226903e-05,4.056121541e-06,4.131111985e-05, 0.005128935254
0.08000000,1.000000,float,1.498911593e-05,2.209020988e-05,6.823251095e-05,9.547616841e-07,3.527101206e-05,6.990185378e-05,0.0001253539643,3.004951757e-05,1.515399662e-05, 5.34818764e-05, 0.005225266577
0.08000000,1.000000,peg,9.031340609e-06,1.491964059e-05, 0.003435853286,2.021854203e-06,0.0002000868032, 0.002013635824,0.0007121079691,3.591683335e-05,8.555973334e-06,0.0001765942498, 0.005421857012
0.08000000,1.000000,managed,4.312697101e-06,8.043645181e-06,0.0001048146722, 8.69369465e-07, 3.44314531e-05,9.411675916e-05,0.0001087304219,  1.6916496e-05,4.585619674e-06,4.400997098e-05, 0.005257752444
0.08000000,2.000000,float,2.234810626e-05,2.840034803e-05,9.548196117e-05,5.101350247e-06,6.004795708e-05, 0.000103827822,0.0001279785099,3.983476003e-05,2.225602892e-05,7.125640022e-05, 0.005383829834
0.08000000,2.000000,peg,7.683872831e-06,1.022412171e-05, 0.007108720426,3.808630889e-05,0.0006268702285, 0.003027522412,0.0001737956924,2.159672227e-05,7.838770666e-06,0.0001766045504, 0.005566502887
0.08000000,2.000000,managed,6.218412195e-06,1.017728926e-05,0.0002256670663,6.262994661e-06,8.070141714e-05,0.0001230939301,0.0001080021669,2.163705912e-05,6.292262782e-06,5.154644694e-05, 0.005408626409
0.00500000,0.000000,peg,2.122221938e-05,3.781082133e-05, 0.004279984075, 1.20614238e-06,0.0001164469103, 0.003279387463, 0.003662033138,0.0001140392393,1.872075971e-05,0.0002657895008,  0.07843840351
