regime,shock_group,output_gap,price_disp,total
float,TFP,0.03999578788492305,22.396203482527053,22.436199270411972
float,Import price (FX),0.02550662393844444,0.06772539460896966,0.0932320185474141
float,Foreign demand,0.010462025490074894,0.07154493468746205,0.08200696017753693
float,Export price (ToT),0.010462853277080266,0.15470999174448033,0.1651728450215606
float,Risk premium (UIP),0.8939912774594772,1.481260020083457,2.375251297542934
peg,TFP,6.404360552513779,8.355135609423249,14.759496161937026
peg,Import price (FX),3.109802980688092,1.7317835902791472,4.841586570967239
peg,Foreign demand,0.6848427056032673,0.18749585710513353,0.8723385627084009
peg,Export price (ToT),0.8812192291898633,0.28994864720142377,1.171167876391287
peg,Risk premium (UIP),58.93166547144491,9.869097148343084,68.80076261978799
managed,TFP,0.8518997303172792,7.826463481346577,8.678363211663857
managed,Import price (FX),0.3240743993528244,0.46229486753982585,0.7863692668926502
managed,Foreign demand,0.08968898396123196,0.013704440023749018,0.10339342398498098
managed,Export price (ToT),0.12108671069297793,0.021137627810944002,0.1422243385039219
managed,Risk premium (UIP),0.9070947614692403,0.34092072550587615,1.2480154869751166
